,"Table 2. Human Development Index trends, 1990-2022",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Human Development Index (HDI) ,,,,,,,,,,,,,,,,Change in HDI rank ,,Average annual HDI growth,,,,,,,
,,Value,,,,,,,,,,,,,,,,,,(%),,,,,,,
HDI rank,Country,1990,,2000,,2010,,2015,,2019,,2020,,2021,,2022,,2015-2022,a,1990-2000,,2000-2010,,2010-2022,,1990-2022,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Switzerland,0.850,,0.885,,0.940,,0.952,,0.960,,0.957,,0.965,,0.967,,0,,0.40,,0.60,,0.24,,0.40,
2,Norway,0.845,,0.914,,0.938,,0.952,,0.961,,0.963,,0.964,,0.966,,-1,,0.79,,0.26,,0.25,,0.42,
3,Iceland,0.834,,0.895,,0.927,,0.948,,0.958,,0.955,,0.957,,0.959,,0,,0.71,,0.35,,0.28,,0.44,
4,"Hong Kong, China (SAR)",0.739,,0.831,,0.914,,0.936,,0.953,,0.955,,0.959,,0.956,,2,,1.18,,0.96,,0.38,,0.81,
5,Denmark,0.839,,0.890,,0.913,,0.936,,0.946,,0.946,,0.947,,0.952,,1,,0.59,,0.26,,0.35,,0.40,
5,Sweden,0.808,,0.903,,0.910,,0.937,,0.947,,0.944,,0.949,,0.952,,0,,1.12,,0.08,,0.38,,0.51,
7,Germany,0.828,,0.890,,0.929,,0.941,,0.951,,0.948,,0.948,,0.950,,-3,,0.72,,0.43,,0.19,,0.43,
7,Ireland,0.743,,0.851,,0.908,,0.924,,0.942,,0.945,,0.946,,0.950,,8,,1.37,,0.65,,0.38,,0.77,
9,Singapore,0.780,,0.863,,0.921,,0.935,,0.945,,0.942,,0.942,,0.949,,-1,,1.02,,0.65,,0.25,,0.61,
10,Australia,0.864,,0.896,,0.924,,0.933,,0.941,,0.948,,0.949,,0.946,,-1,,0.36,,0.31,,0.20,,0.28,
10,Netherlands,0.847,,0.892,,0.917,,0.932,,0.941,,0.938,,0.941,,0.946,,1,,0.52,,0.28,,0.26,,0.35,
12,Belgium,0.814,,0.884,,0.913,,0.924,,0.936,,0.930,,0.938,,0.942,,3,,0.83,,0.32,,0.26,,0.46,
12,Finland,0.811,,0.887,,0.912,,0.930,,0.939,,0.939,,0.941,,0.942,,0,,0.90,,0.28,,0.27,,0.47,
12,Liechtenstein,..,,0.871,,0.916,,0.926,,0.940,,0.933,,0.936,,0.942,,2,,..,,0.51,,0.23,,..,
15,United Kingdom,0.804,,0.863,,0.913,,0.923,,0.933,,0.920,,0.931,,0.940,,3,,0.71,,0.56,,0.24,,0.49,
16,New Zealand,0.812,,0.894,,0.924,,0.933,,0.937,,0.935,,0.936,,0.939,,-7,,0.97,,0.33,,0.13,,0.46,
17,United Arab Emirates,0.717,,0.790,,0.828,,0.860,,0.933,,0.930,,0.931,,0.937,,19,,0.97,,0.47,,1.04,,0.84,
